SerialNo;Substation;datetime;P_GEN_MAX;P_GEN_MIN
3067E69020456129;Forest Road;01/10/2013 12:00;2.229;2.044
3067E69020456129;Forest Road;01/10/2013 13:00;2.099;1.068
3067E69020456129;Forest Road;01/10/2013 14:00;1.974;0.824
3067E69020456129;Forest Road;01/10/2013 15:00;1.552;0.547
3067E69020456129;Forest Road;01/10/2013 16:00;0.498;0.267
3067E69020456129;Forest Road;01/10/2013 17:00;0.258;0.096
3067E69020456129;Forest Road;01/10/2013 18:00;0.079;0.002
3067E69020456129;Forest Road;01/10/2013 19:00;0.002;0.002
3067E69020456129;Forest Road;01/10/2013 20:00;0.002;0.002
3067E69020456129;Forest Road;01/10/2013 21:00;0.002;0.002
3067E69020456129;Forest Road;01/10/2013 22:00;0.002;0.002
3067E69020456129;Forest Road;01/10/2013 23:00;0.002;0.002
3067E69020456129;Forest Road;02/10/2013 00:00;0.002;0.002
3067E69020456129;Forest Road;02/10/2013 01:00;0.002;0.002
3067E69020456129;Forest Road;02/10/2013 02:00;0.002;0.002
3067E69020456129;Forest Road;02/10/2013 03:00;0.002;0.002
3067E69020456129;Forest Road;02/10/2013 04:00;0.002;0.002
3067E69020456129;Forest Road;02/10/2013 05:00;0.002;0.002
3067E69020456129;Forest Road;02/10/2013 06:00;0.002;0.002
3067E69020456129;Forest Road;02/10/2013 07:00;0.002;0.002
3067E69020456129;Forest Road;02/10/2013 08:00;0.049;0.003
3067E69020456129;Forest Road;02/10/2013 09:00;0.283;0.075
3067E69020456129;Forest Road;02/10/2013 10:00;0.565;0.178
3067E69020456129;Forest Road;02/10/2013 11:00;0.485;0.155
3067E69020456129;Forest Road;02/10/2013 12:00;0.334;0.111
3067E69020456129;Forest Road;02/10/2013 13:00;0.256;0.140
3067E69020456129;Forest Road;02/10/2013 14:00;0.318;0.099
3067E69020456129;Forest Road;02/10/2013 15:00;0.196;0.099
3067E69020456129;Forest Road;02/10/2013 16:00;0.119;0.045
3067E69020456129;Forest Road;02/10/2013 17:00;0.209;0.047
3067E69020456129;Forest Road;02/10/2013 18:00;0.034;0.002
3067E69020456129;Forest Road;02/10/2013 19:00;0.002;0.002
3067E69020456129;Forest Road;02/10/2013 20:00;0.002;0.002
3067E69020456129;Forest Road;02/10/2013 21:00;0.002;0.002
3067E69020456129;Forest Road;02/10/2013 22:00;0.002;0.002
3067E69020456129;Forest Road;02/10/2013 23:00;0.002;0.002
3067E69020456129;Forest Road;03/10/2013 00:00;0.002;0.002
3067E69020456129;Forest Road;03/10/2013 01:00;0.002;0.002
3067E69020456129;Forest Road;03/10/2013 02:00;0.002;0.002
3067E69020456129;Forest Road;03/10/2013 03:00;0.002;0.002
3067E69020456129;Forest Road;03/10/2013 04:00;0.002;0.002
3067E69020456129;Forest Road;03/10/2013 05:00;0.002;0.002
3067E69020456129;Forest Road;03/10/2013 06:00;0.002;0.002
3067E69020456129;Forest Road;03/10/2013 07:00;0.119;0.002
3067E69020456129;Forest Road;03/10/2013 08:00;0.612;0.168
3067E69020456129;Forest Road;03/10/2013 09:00;0.873;0.564
3067E69020456129;Forest Road;03/10/2013 10:00;1.093;0.589
3067E69020456129;Forest Road;03/10/2013 11:00;1.421;0.694
3067E69020456129;Forest Road;03/10/2013 12:00;2.236;0.260
3067E69020456129;Forest Road;03/10/2013 13:00;0.532;0.064
3067E69020456129;Forest Road;03/10/2013 14:00;0.142;0.065
3067E69020456129;Forest Road;03/10/2013 15:00;0.399;0.068
3067E69020456129;Forest Road;03/10/2013 16:00;0.396;0.121
3067E69020456129;Forest Road;03/10/2013 17:00;0.393;0.057
3067E69020456129;Forest Road;03/10/2013 18:00;0.043;0.002
3067E69020456129;Forest Road;03/10/2013 19:00;0.002;0.002
3067E69020456129;Forest Road;03/10/2013 20:00;0.002;0.002
3067E69020456129;Forest Road;03/10/2013 21:00;0.002;0.002
3067E69020456129;Forest Road;03/10/2013 22:00;0.002;0.002
3067E69020456129;Forest Road;03/10/2013 23:00;0.002;0.002
3067E69020456129;Forest Road;04/10/2013 00:00;0.002;0.002
3067E69020456129;Forest Road;04/10/2013 01:00;0.002;0.002
3067E69020456129;Forest Road;04/10/2013 02:00;0.002;0.002
3067E69020456129;Forest Road;04/10/2013 03:00;0.002;0.002
3067E69020456129;Forest Road;04/10/2013 04:00;0.002;0.002
3067E69020456129;Forest Road;04/10/2013 05:00;0.002;0.002
3067E69020456129;Forest Road;04/10/2013 06:00;0.002;0.002
3067E69020456129;Forest Road;04/10/2013 07:00;0.050;0.002
3067E69020456129;Forest Road;04/10/2013 08:00;0.181;0.008
3067E69020456129;Forest Road;04/10/2013 09:00;0.417;0.194
3067E69020456129;Forest Road;04/10/2013 10:00;1.054;0.219
3067E69020456129;Forest Road;04/10/2013 11:00;1.146;0.308
3067E69020456129;Forest Road;04/10/2013 12:00;2.375;0.116
3067E69020456129;Forest Road;04/10/2013 13:00;1.658;0.333
3067E69020456129;Forest Road;04/10/2013 14:00;1.678;0.283
3067E69020456129;Forest Road;04/10/2013 15:00;1.270;0.349
3067E69020456129;Forest Road;04/10/2013 16:00;0.349;0.210
3067E69020456129;Forest Road;04/10/2013 17:00;0.293;0.102
3067E69020456129;Forest Road;04/10/2013 18:00;0.090;0.002
3067E69020456129;Forest Road;04/10/2013 19:00;0.002;0.002
3067E69020456129;Forest Road;04/10/2013 20:00;0.002;0.002
3067E69020456129;Forest Road;04/10/2013 21:00;0.002;0.002
3067E69020456129;Forest Road;04/10/2013 22:00;0.002;0.002
3067E69020456129;Forest Road;04/10/2013 23:00;0.002;0.002
3067E69020456129;Forest Road;05/10/2013 00:00;0.002;0.002
3067E69020456129;Forest Road;05/10/2013 01:00;0.002;0.002
3067E69020456129;Forest Road;05/10/2013 02:00;0.002;0.002
3067E69020456129;Forest Road;05/10/2013 03:00;0.002;0.002
3067E69020456129;Forest Road;05/10/2013 04:00;0.002;0.002
3067E69020456129;Forest Road;05/10/2013 05:00;0.002;0.002
3067E69020456129;Forest Road;05/10/2013 06:00;0.002;0.002
3067E69020456129;Forest Road;05/10/2013 07:00;0.029;0.002
3067E69020456129;Forest Road;05/10/2013 08:00;0.467;0.028
3067E69020456129;Forest Road;05/10/2013 09:00;0.768;0.340
3067E69020456129;Forest Road;05/10/2013 10:00;1.040;0.439
3067E69020456129;Forest Road;05/10/2013 11:00;1.516;0.382
3067E69020456129;Forest Road;05/10/2013 12:00;1.133;0.379
3067E69020456129;Forest Road;05/10/2013 13:00;0.847;0.159
3067E69020456129;Forest Road;05/10/2013 14:00;0.404;0.126
3067E69020456129;Forest Road;05/10/2013 15:00;0.377;0.313
3067E69020456129;Forest Road;05/10/2013 16:00;0.390;0.003
3067E69020456129;Forest Road;05/10/2013 17:00;0.125;0.013
3067E69020456129;Forest Road;05/10/2013 18:00;0.003;0.002
3067E69020456129;Forest Road;05/10/2013 19:00;0.002;0.002
3067E69020456129;Forest Road;05/10/2013 20:00;0.002;0.002
3067E69020456129;Forest Road;05/10/2013 21:00;0.002;0.002
3067E69020456129;Forest Road;05/10/2013 22:00;0.002;0.002
3067E69020456129;Forest Road;05/10/2013 23:00;0.002;0.002
3067E69020456129;Forest Road;06/10/2013 00:00;0.002;0.002
3067E69020456129;Forest Road;06/10/2013 01:00;0.002;0.002
3067E69020456129;Forest Road;06/10/2013 02:00;0.002;0.002
3067E69020456129;Forest Road;06/10/2013 03:00;0.002;0.002
3067E69020456129;Forest Road;06/10/2013 04:00;0.002;0.002
3067E69020456129;Forest Road;06/10/2013 05:00;0.002;0.002
3067E69020456129;Forest Road;06/10/2013 06:00;0.002;0.002
3067E69020456129;Forest Road;06/10/2013 07:00;0.055;0.002
3067E69020456129;Forest Road;06/10/2013 08:00;0.507;0.091
3067E69020456129;Forest Road;06/10/2013 09:00;1.185;0.539
3067E69020456129;Forest Road;06/10/2013 10:00;1.651;1.244
3067E69020456129;Forest Road;06/10/2013 11:00;2.114;1.743
3067E69020456129;Forest Road;06/10/2013 12:00;2.333;0.424
3067E69020456129;Forest Road;06/10/2013 13:00;2.404;1.651
3067E69020456129;Forest Road;06/10/2013 14:00;1.884;0.282
3067E69020456129;Forest Road;06/10/2013 15:00;1.580;0.377
3067E69020456129;Forest Road;06/10/2013 16:00;0.423;0.220
3067E69020456129;Forest Road;06/10/2013 18:00;0.037;0.002
3067E69020456129;Forest Road;06/10/2013 19:00;0.002;0.002
3067E69020456129;Forest Road;06/10/2013 20:00;0.002;0.002
3067E69020456129;Forest Road;06/10/2013 21:00;0.002;0.002
3067E69020456129;Forest Road;06/10/2013 22:00;0.002;0.002
3067E69020456129;Forest Road;06/10/2013 23:00;0.002;0.002
3067E69020456129;Forest Road;07/10/2013 00:00;0.002;0.002
3067E69020456129;Forest Road;07/10/2013 01:00;0.002;0.002
3067E69020456129;Forest Road;07/10/2013 02:00;0.002;0.002
3067E69020456129;Forest Road;07/10/2013 03:00;0.002;0.002
3067E69020456129;Forest Road;07/10/2013 04:00;0.002;0.002
3067E69020456129;Forest Road;07/10/2013 06:00;0.002;0.002
3067E69020456129;Forest Road;07/10/2013 07:00;0.085;0.002
